Respondent_ID,Brand,Age_Group,Gender,City,Satisfaction,Camera_Rating,Battery_Rating,Value_for_Money,Recommend,NPS_Score,Purchase_Channel,Repurchase_Intention
151,Samsung,18-24,Female,Denpasar,4,4,5,4,Yes,7,Online,Yes
152,Samsung,35-44,Female,Yogyakarta,4,4,3,4,Yes,7,Offline,Yes
153,Xiaomi,25-34,Male,Surabaya,4,5,5,5,Yes,8,Offline,Yes
154,Xiaomi,18-24,Male,Yogyakarta,4,4,4,5,Yes,7,Offline,Yes
155,Apple,35-44,Male,Jakarta,4,4,4,3,Yes,8,Online,Yes
156,OPPO,45-54,Male,Medan,5,4,5,5,Yes,10,Offline,Yes
157,Apple,35-44,Male,Surabaya,4,4,5,4,Yes,8,Online,Yes
158,Samsung,25-34,Female,Semarang,4,4,4,5,Yes,7,Offline,No
159,Xiaomi,35-44,Female,Yogyakarta,3,4,5,4,No,5,Offline,Yes
160,Apple,25-34,Female,Surabaya,4,5,4,3,Yes,8,Offline,Maybe
161,OPPO,35-44,Female,Semarang,5,5,4,4,Yes,9,Online,Maybe
162,OPPO,18-24,Female,Bandung,4,4,5,4,Yes,7,Offline,Yes
163,Samsung,18-24,Female,Yogyakarta,4,4,4,3,Yes,7,Online,Yes
164,Apple,18-24,Male,Jakarta,5,4,3,4,Yes,10,Online,Maybe
165,Samsung,25-34,Female,Semarang,3,4,3,4,No,4,Offline,No
166,OPPO,35-44,Female,Surabaya,4,3,4,4,Yes,8,Online,Maybe
167,OPPO,35-44,Female,Makassar,4,4,4,4,Yes,7,Online,Yes
168,OPPO,25-34,Female,Semarang,5,4,4,4,Yes,10,Online,Maybe
169,vivo,25-34,Male,Makassar,3,3,5,3,No,6,Offline,Yes
170,Samsung,18-24,Male,Denpasar,5,5,4,4,Yes,10,Online,Maybe
171,Xiaomi,25-34,Male,Denpasar,3,4,4,4,No,6,Online,No
172,vivo,18-24,Female,Denpasar,4,4,4,4,Yes,8,Offline,Maybe
173,OPPO,25-34,Male,Denpasar,4,4,5,4,Yes,7,Online,Maybe
174,OPPO,18-24,Male,Jakarta,5,4,4,4,Yes,10,Online,Yes
175,Xiaomi,45-54,Female,Yogyakarta,5,4,5,3,Yes,10,Online,Yes
176,vivo,18-24,Male,Makassar,3,4,4,4,No,4,Offline,No
177,vivo,25-34,Female,Medan,4,5,4,5,Yes,7,Offline,Yes
178,vivo,45-54,Male,Medan,4,4,5,4,Yes,7,Online,Yes
179,Samsung,18-24,Male,Jakarta,5,5,4,5,Yes,10,Offline,Yes
180,OPPO,35-44,Male,Makassar,4,5,5,4,Yes,7,Offline,Maybe
181,vivo,18-24,Female,Makassar,4,3,4,4,Yes,8,Offline,Yes
182,OPPO,18-24,Male,Denpasar,5,4,5,4,Yes,9,Offline,Yes
183,OPPO,25-34,Female,Yogyakarta,5,5,4,5,Yes,9,Online,Maybe
184,Xiaomi,25-34,Male,Denpasar,4,5,4,5,Yes,7,Online,No
185,Xiaomi,35-44,Male,Medan,4,4,4,5,Yes,8,Offline,Yes
186,Samsung,25-34,Female,Denpasar,5,5,3,4,Yes,9,Offline,Yes
187,OPPO,35-44,Male,Jakarta,4,5,4,4,Yes,7,Online,Yes
188,Samsung,35-44,Female,Yogyakarta,4,5,5,4,Yes,8,Offline,Yes
189,OPPO,35-44,Female,Surabaya,5,4,4,4,Yes,9,Online,Maybe
190,Apple,25-34,Male,Makassar,5,5,5,4,Yes,9,Offline,Yes
191,OPPO,25-34,Female,Denpasar,5,4,4,4,Yes,10,Offline,Yes
192,OPPO,35-44,Female,Surabaya,5,4,5,5,Yes,10,Offline,Maybe
193,Xiaomi,18-24,Female,Denpasar,2,3,4,5,No,0,Online,No
194,OPPO,25-34,Female,Jakarta,4,4,5,5,Yes,8,Online,Yes
195,Apple,45-54,Male,Medan,5,4,4,4,Yes,9,Offline,Maybe
196,Apple,25-34,Male,Surabaya,5,4,5,4,Yes,10,Offline,No
197,OPPO,18-24,Female,Yogyakarta,3,5,5,3,No,4,Offline,Maybe
198,OPPO,25-34,Male,Yogyakarta,4,4,3,3,Yes,8,Offline,Yes
199,Xiaomi,25-34,Male,Yogyakarta,3,4,4,5,No,5,Offline,Yes
200,Xiaomi,35-44,Male,Semarang,5,5,3,4,Yes,10,Online,Yes
